"state","state_fips_code","county_name","confirmed_cases","deaths","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","median_income","income_less_50K","income_50K_100K","income_100K_150K","income_150K_more","rent_under_50_percent","rent_over_50_percent","median_age","male_0_20","male_21_49","male_50_above","female_0_20","female_21_49","female_50_above","unemployed_pop","employed_pop","commute","worked_at_home","walked_to_work"
"IL",17,"Clinton County",5032,77,37640,19549,18091,34471,1336,224,1163,107,5,64543,5273,5040,2510,1360,1915,577,40.4,4774,7982,7363,4379,6444,7852,756,18718,34295,569,352
"IL",17,"Jackson County",4187,57,59115,29460,29655,44012,8561,1984,2518,134,159,36008,14809,5503,2010,1620,6025,3473,31.1,8253,12889,9014,8237,11899,10218,2358,25594,43938,905,1513
"IL",17,"Jasper County",1040,14,9608,4776,4832,9338,38,1,141,6,6,56523,1607,1478,428,210,381,203,43,1281,1546,2084,1227,1565,2187,210,4522,7844,352,151
"IL",17,"Madison County",24398,400,266153,129987,136166,227604,22485,2434,8310,474,117,56536,47297,34517,15838,9589,21991,6870,40,35029,49051,49116,33442,49595,57720,10014,125596,232686,4677,1663
"IL",17,"McHenry County",21712,227,308043,153503,154540,252341,3848,8214,38531,180,392,82230,31190,36738,23035,19897,16810,4770,39.9,45020,56689,55551,41894,56787,59202,9220,162177,289715,9425,1410
"IL",17,"Marion County",3994,106,38305,18781,19524,35058,1297,257,719,78,68,44679,8799,5016,1613,573,2644,866,41.8,5006,6647,7722,4885,6416,8940,1612,16958,31162,382,343
"IL",17,"Woodford County",3202,53,38942,19374,19568,37260,230,305,674,23,0,69507,4896,5268,2448,1935,1825,432,39.9,5773,6493,7582,5384,6474,8273,923,18685,34430,725,358
"IL",17,"Peoria County",15054,228,186145,90211,95934,131028,32343,7191,8545,457,472,53063,35166,23094,9717,6538,18121,5759,37,26358,34266,32038,25884,34964,37716,7622,84233,153895,2332,2092
"IL",17,"Macon County",8836,168,107587,51439,56148,82514,14906,1223,2327,334,130,49052,22470,13648,4901,3291,9418,2816,41,14416,17572,21143,14196,18887,25047,4855,48109,88806,1504,869
"IL",17,"Stephenson County",3532,54,45839,22183,23656,38196,4371,354,1667,56,41,46427,10538,5872,2214,980,4568,1129,44.7,5767,7194,9988,5623,7451,11501,1859,21253,37636,1053,596
"IL",17,"Tazewell County",11944,213,134695,66456,68239,126850,1663,1288,3018,180,82,60874,22050,19059,8523,5119,10208,1833,40.8,17878,24815,25741,17152,23821,29648,3415,63912,119776,1745,864
"IL",17,"LaSalle County",9478,196,111151,55819,55332,95693,2730,871,10323,257,4,54693,20419,14536,6493,3000,8354,2752,41.8,14465,20246,22555,13996,18195,24891,4617,50811,92640,1754,941
"IL",17,"Sangamon County",14548,201,198134,95103,103031,160020,24947,3740,4360,110,683,58687,36097,26368,12185,9023,17303,6650,40.1,26326,35187,36274,25519,36950,43818,7022,95417,173960,3654,1882
"IL",17,"Clark County",1477,27,15924,7827,8097,15394,49,69,239,10,0,52068,3268,2334,782,425,1277,217,43,2102,2680,3271,2060,2662,3728,531,7675,13730,366,123
"IL",17,"Effingham County",4311,58,34164,17021,17143,32804,190,81,661,24,46,54655,6171,4389,1785,1105,2415,309,39.1,5020,6000,6455,4475,5786,7569,796,17229,31845,570,302
"IL",17,"Shelby County",1970,32,21906,10885,11021,21335,146,81,220,43,0,49807,4610,3196,992,385,1243,232,44.6,2828,3588,4927,2604,3459,5373,479,10352,19168,488,69
"IL",17,"Fulton County",2569,41,35733,18673,17060,32860,1349,85,1029,52,0,48599,7234,4754,1502,579,2311,545,42.5,4368,7459,7394,4026,5464,8152,1245,15027,27793,392,383
"IL",17,"Jo Daviess County",1485,21,22046,11081,10965,20927,86,105,648,39,8,55532,4436,3408,1207,744,1577,237,49.4,2618,3238,5780,2221,3168,6090,497,10968,18956,694,520
"IL",17,"Richland County",1536,35,15953,7919,8034,15247,71,117,264,49,3,46454,3456,2001,638,365,1293,330,42.3,2138,2715,3264,1983,2562,3819,490,7229,13350,184,121
"IL",17,"Franklin County",3847,59,39302,19302,20000,37738,252,186,648,71,0,39454,9768,4673,1375,530,3015,945,42.3,5231,6693,8091,4766,6744,9316,1512,15466,28624,445,168
"IL",17,"Warren County",1586,41,17429,8439,8990,14705,481,404,1611,8,0,47278,3596,2095,750,361,1290,208,39.1,2498,2863,3363,2505,2958,3854,581,8248,14298,395,391
"IL",17,"Coles County",4703,79,52540,25395,27145,47789,1987,649,1267,84,49,41907,11866,5979,1976,1185,4958,2177,34.3,6747,10448,8759,7264,10255,10517,1935,24725,42774,1091,1370
"IL",17,"Winnebago County",26295,373,287512,140454,147058,201954,35522,7244,35035,395,451,51110,55772,36709,14049,7961,27169,9171,39.6,39986,51039,53420,38165,52583,60451,14724,132190,244221,4559,1351
"IL",17,"Lee County",3048,35,34670,18375,16295,30073,1793,235,2041,62,35,58319,5772,4891,1502,1251,2492,635,42.7,4175,7210,7472,3911,5346,7646,964,15386,27988,631,288
"IL",17,"Williamson County",6196,107,67477,33646,33831,60823,2681,684,1701,112,49,48600,13818,8142,3457,1445,5295,1488,40.9,8626,12853,13210,8298,11921,14739,2117,28720,53019,1180,465
"IL",17,"Rock Island County",11919,261,146205,72053,74152,106163,14074,3506,18361,310,177,51426,28972,19559,7689,3844,13416,4024,40,19896,26117,28209,18867,25212,32436,5259,68461,125086,1798,1669
"IL",17,"Jefferson County",3435,103,38358,19691,18667,32911,3255,439,928,36,23,46109,8101,4552,1705,886,2917,790,40.9,5016,7681,7568,4771,6248,8417,1482,15916,28719,510,264
"IL",17,"Brown County",610,5,6791,4360,2431,4999,1446,41,245,3,2,56289,898,785,246,137,349,25,38.7,661,2454,1336,616,811,1098,119,2418,4317,184,39
"IL",17,"Cass County",1751,21,12880,6529,6351,9815,501,41,2417,5,6,50156,2569,1779,607,205,1033,183,40.2,1997,2211,2524,1599,2277,2718,457,6152,11026,253,201
"IL",17,"Union County",1993,30,17267,8712,8555,15781,128,43,860,7,64,46716,3632,2011,667,376,934,189,43.5,2182,2973,3856,1991,2853,4119,409,7245,13190,367,37
"IL",17,"Menard County",880,6,12416,6080,6336,11896,63,43,179,14,5,62368,2052,1889,722,567,852,222,42.3,1622,2011,2664,1509,2117,2964,294,6091,11128,293,94
